Date,^BVSP,^GSPC,^IXIC,^GDAXI,^DJI
2019-01-02,91012.0,2510.030029296875,6665.93994140625,10580.1904296875,23346.240234375
2019-01-03,91564.0,2447.889892578125,6463.5,10416.66015625,22686.220703125
2019-01-04,91841.0,2531.93994140625,6738.85986328125,10767.6904296875,23433.16015625
2019-01-07,91699.0,2549.68994140625,6823.47021484375,10747.8095703125,23531.349609375
2019-01-08,92032.0,2574.409912109375,6897.0,10803.98046875,23787.44921875
2019-01-09,93613.0,2584.9599609375,6957.080078125,10893.3203125,23879.119140625
2019-01-10,93806.0,2596.639892578125,6986.06982421875,10921.58984375,24001.919921875
2019-01-11,93658.0,2596.260009765625,6971.47998046875,10887.4599609375,23995.94921875
2019-01-14,94474.0,2582.610107421875,6905.919921875,10855.91015625,23909.83984375
2019-01-15,94056.0,2610.300048828125,7023.830078125,10891.7900390625,24065.58984375
2019-01-16,94393.0,2616.10009765625,7034.68994140625,10931.240234375,24207.16015625
2019-01-17,95351.0,2635.9599609375,7084.4599609375,10918.6201171875,24370.099609375
2019-01-18,96097.0,2670.7099609375,7157.22998046875,11205.5400390625,24706.349609375
2019-01-21,96010.0,,,11136.2001953125,
2019-01-22,95103.0,2632.89990234375,7020.35986328125,11090.1103515625,24404.48046875
2019-01-23,96558.0,2638.699951171875,7025.77001953125,11071.5400390625,24575.619140625
2019-01-24,97677.0,2642.330078125,7073.4599609375,11130.1796875,24553.240234375
2019-01-28,95444.0,2643.85009765625,7085.68017578125,11210.3095703125,24528.220703125
2019-01-29,95639.0,2640.0,7028.2900390625,11218.830078125,24579.9609375
2019-01-30,96996.0,2681.050048828125,7183.080078125,11181.66015625,25014.859375
2019-01-31,97394.0,2704.10009765625,7281.740234375,11173.099609375,24999.669921875
2019-02-01,97861.0,2706.530029296875,7263.8701171875,11180.66015625,25063.890625
2019-02-04,98589.0,2724.8701171875,7347.5400390625,11176.580078125,25239.369140625
2019-02-05,98311.0,2737.699951171875,7402.080078125,11367.98046875,25411.51953125
2019-02-06,94636.0,2731.610107421875,7375.27978515625,11324.7197265625,25390.30078125
2019-02-07,94406.0,2706.050048828125,7288.35009765625,11022.01953125,25169.529296875
2019-02-08,95343.0,2707.8798828125,7298.2001953125,10906.7802734375,25106.330078125
2019-02-11,94413.0,2709.800048828125,7307.89990234375,11014.58984375,25053.109375
2019-02-12,96168.0,2744.72998046875,7414.6201171875,11126.080078125,25425.759765625
2019-02-13,95842.0,2753.030029296875,7420.3798828125,11167.2197265625,25543.26953125
2019-02-14,98015.0,2745.72998046875,7426.9501953125,11089.7900390625,25439.390625
2019-02-15,97526.0,2775.60009765625,7472.41015625,11299.7998046875,25883.25
2019-02-18,96510.0,,,11299.2001953125,
2019-02-19,97659.0,2779.760009765625,7486.77001953125,11309.2099609375,25891.3203125
2019-02-20,96545.0,2784.699951171875,7489.06982421875,11401.9697265625,25954.439453125
2019-02-21,96932.0,2774.8798828125,7459.7099609375,11423.2802734375,25850.630859375
2019-02-22,97886.0,2792.669921875,7527.5400390625,11457.7001953125,26031.810546875
2019-02-25,97240.0,2796.110107421875,7554.4599609375,11505.3896484375,26091.94921875
2019-02-26,97603.0,2793.89990234375,7549.2998046875,11540.7900390625,26057.98046875
2019-02-27,97307.0,2792.3798828125,7554.509765625,11487.330078125,25985.16015625
2019-02-28,95584.0,2784.489990234375,7532.52978515625,11515.6396484375,25916.0
2019-03-01,94604.0,2803.68994140625,7595.35009765625,11601.6796875,26026.3203125
2019-03-06,94217.0,2771.449951171875,7505.919921875,11587.6298828125,25673.4609375
2019-03-07,94340.0,2748.929931640625,7421.4599609375,11517.7998046875,25473.23046875
2019-03-08,95365.0,2743.070068359375,7408.14013671875,11457.83984375,25450.240234375
2019-03-11,98027.0,2783.300048828125,7558.06005859375,11543.48046875,25650.880859375
2019-03-12,97828.0,2791.52001953125,7591.02978515625,11524.169921875,25554.66015625
2019-03-13,98904.0,2810.919921875,7643.41015625,11572.41015625,25702.890625
2019-03-14,98605.0,2808.47998046875,7630.91015625,11587.4697265625,25709.939453125
2019-03-15,99137.0,2822.47998046875,7688.52978515625,11685.6904296875,25848.869140625
2019-03-18,99994.0,2832.93994140625,7714.47998046875,11657.0595703125,25914.099609375
2019-03-19,99588.0,2832.570068359375,7723.9501953125,11788.41015625,25887.380859375
2019-03-20,98041.0,2824.22998046875,7728.97021484375,11603.8896484375,25745.669921875
2019-03-21,96729.0,2854.8798828125,7838.9599609375,11549.9599609375,25962.509765625
2019-03-22,93735.0,2800.7099609375,7642.669921875,11364.169921875,25502.3203125
2019-03-25,93662.0,2798.360107421875,7637.5400390625,11346.650390625,25516.830078125
2019-03-26,95307.0,2818.4599609375,7691.52001953125,11419.48046875,25657.73046875
2019-03-27,91903.0,2805.3701171875,7643.3798828125,11419.0400390625,25625.58984375
2019-03-28,94389.0,2815.43994140625,7669.169921875,11428.16015625,25717.4609375
2019-03-29,95415.0,2834.39990234375,7729.31982421875,11526.0400390625,25928.6796875
2019-04-01,96054.0,2867.18994140625,7828.91015625,11681.990234375,26258.419921875
2019-04-02,95387.0,2867.239990234375,7848.68994140625,11754.7900390625,26179.130859375
2019-04-03,94491.0,2873.39990234375,7895.5498046875,11954.400390625,26218.130859375
2019-04-04,96313.0,2879.389892578125,7891.77978515625,11988.009765625,26384.630859375
2019-04-05,97108.0,2892.739990234375,7938.68994140625,12009.75,26424.990234375
2019-04-08,97369.0,2895.77001953125,7953.8798828125,11963.400390625,26341.01953125
2019-04-09,96292.0,2878.199951171875,7909.27978515625,11850.5703125,26150.580078125
2019-04-10,95953.0,2888.2099609375,7964.240234375,11905.91015625,26157.16015625
2019-04-11,94755.0,2888.320068359375,7947.35986328125,11935.2001953125,26143.05078125
2019-04-12,92875.0,2907.409912109375,7984.16015625,11999.9296875,26412.30078125
2019-04-15,93083.0,2905.580078125,7976.009765625,12020.2802734375,26384.76953125
2019-04-16,94333.0,2907.06005859375,8000.22998046875,12101.3203125,26452.66015625
2019-04-17,93285.0,2900.449951171875,7996.080078125,12153.0703125,26449.5390625
2019-04-18,94578.0,2905.030029296875,7998.06005859375,12222.3896484375,26559.5390625
2019-04-22,94588.0,2907.969970703125,8015.27001953125,,26511.05078125
2019-04-23,95923.0,2933.679931640625,8120.81982421875,12235.509765625,26656.390625
2019-04-24,95045.0,2927.25,8102.009765625,12313.16015625,26597.05078125
2019-04-25,96552.0,2926.169921875,8118.68017578125,12282.599609375,26462.080078125
2019-04-26,96236.0,2939.8798828125,8146.39990234375,12315.1796875,26543.330078125
2019-04-29,96188.0,2943.030029296875,8161.85009765625,12328.01953125,26554.390625
2019-04-30,96353.0,2945.830078125,8095.39013671875,12344.080078125,26592.91015625
2019-05-02,95528.0,2917.52001953125,8036.77001953125,12345.419921875,26307.7890625
2019-05-03,96008.0,2945.639892578125,8164.0,12412.75,26504.94921875
2019-05-06,95009.0,2932.469970703125,8123.2900390625,12286.8798828125,26438.48046875
2019-05-07,94389.0,2884.050048828125,7963.759765625,12092.740234375,25965.08984375
2019-05-08,95597.0,2879.419921875,7943.31982421875,12179.9296875,25967.330078125
2019-05-09,94808.0,2870.719970703125,7910.58984375,11973.919921875,25828.359375
2019-05-10,94258.0,2881.39990234375,7916.93994140625,12059.830078125,25942.369140625
2019-05-13,91727.0,2811.8701171875,7647.02001953125,11876.650390625,25324.990234375
2019-05-14,92092.0,2834.409912109375,7734.490234375,11991.6201171875,25532.05078125
2019-05-15,91623.0,2850.9599609375,7822.14990234375,12099.5703125,25648.01953125
2019-05-16,90024.0,2876.320068359375,7898.0498046875,12310.3701171875,25862.6796875
2019-05-17,89993.0,2859.530029296875,7816.27978515625,12238.9404296875,25764.0
2019-05-20,91946.0,2840.22998046875,7702.3798828125,12041.2900390625,25679.900390625
2019-05-21,94485.0,2864.360107421875,7785.72021484375,12143.4697265625,25877.330078125
2019-05-22,94361.0,2856.27001953125,7750.83984375,12168.740234375,25776.609375
2019-05-23,93910.0,2822.239990234375,7628.27978515625,11952.41015625,25490.470703125
2019-05-24,93628.0,2826.06005859375,7637.009765625,12011.0400390625,25585.689453125
2019-05-27,94864.0,,,12071.1796875,
2019-05-28,96393.0,2802.389892578125,7607.35009765625,12027.0498046875,25347.76953125
2019-05-29,96567.0,2783.02001953125,7547.31005859375,11837.8095703125,25126.41015625
2019-05-30,97457.0,2788.860107421875,7567.72021484375,11902.080078125,25169.880859375
2019-05-31,97030.0,2752.06005859375,7453.14990234375,11726.83984375,24815.0390625
2019-06-03,97020.0,2744.449951171875,7333.02001953125,11792.8095703125,24819.779296875
2019-06-04,97380.0,2803.27001953125,7527.1201171875,11971.169921875,25332.1796875
2019-06-05,95999.0,2826.14990234375,7575.47998046875,11980.8095703125,25539.5703125
2019-06-06,97205.0,2843.489990234375,7615.5498046875,11953.1396484375,25720.66015625
2019-06-07,97821.0,2873.340087890625,7742.10009765625,12045.3798828125,25983.939453125
2019-06-10,97467.0,2886.72998046875,7823.169921875,,26062.6796875
2019-06-11,98960.0,2885.719970703125,7822.56982421875,12155.8095703125,26048.509765625
2019-06-12,98321.0,2879.840087890625,7792.72021484375,12115.6796875,26004.830078125
2019-06-13,98774.0,2891.639892578125,7837.1298828125,12169.0498046875,26106.76953125
2019-06-14,98040.0,2886.97998046875,7796.66015625,12096.400390625,26089.609375
2019-06-17,98153.890625,2894.60009765625,7860.01513671875,12085.8203125,26152.2890625
